z_low,z_high,z_mean,residual_mean_mag,plot_error_mag,n_rows
0.0233,0.04,0.03002,0.01156,0.01268,254
0.04,0.06,0.04833,-0.00574,0.01930,88
0.06,0.08,0.07053,0.00001,0.02666,49
0.08,0.10,0.08725,0.02822,0.05114,14
0.10,0.13,0.11718,0.00531,0.02664,46
0.13,0.16,0.14546,-0.00984,0.02267,56
0.16,0.20,0.18179,-0.00060,0.01735,105
0.20,0.25,0.22592,-0.00849,0.01624,139
0.25,0.30,0.27433,-0.00513,0.01830,120
0.30,0.34,0.31972,0.02258,0.01856,101
0.34,0.36,0.35005,0.04476,0.03276,34
0.36,0.38,0.36957,-0.04099,0.03230,33
0.38,0.40,0.38701,-0.00561,0.04897,18
0.40,0.43,0.41703,0.03272,0.03137,43
0.43,0.46,0.44513,-0.04121,0.03528,30
0.46,0.50,0.47755,0.01351,0.03710,25
0.50,0.60,0.54581,-0.03417,0.02480,81
